	_feature_id	_core_var	_ratio_core_cat	_mean_ratio_cat	_RNA_prev	_DNA_prev	_cat	pathway	function_biobakery	Superclass1	Superclass2	function
PWY-7204: pyridoxal 5'-phosphate salvage II (plants)	PWY-7204: pyridoxal 5'-phosphate salvage II (plants)	variable		r:d<1	else	>0.8 no DNA	f	PWY-7204	 pyridoxal 5'-phosphate salvage II (plants)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	pyridoxal 5'-phosphate salvage II (plants)
PWY-7245: superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)	PWY-7245: superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)	variable		r:d<1	else	>0.8 no DNA	f	PWY-7245	 superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway NAD/NADP - NADH/NADPH interconversion (yeast)
PWY-7268: cytosolic NADPH production (yeast)	PWY-7268: cytosolic NADPH production (yeast)	variable		r:d<1	else	>0.8 no DNA	f	PWY-7268	 cytosolic NADPH production (yeast)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)
PWY-7269: mitochondrial NADPH production (yeast)	PWY-7269: mitochondrial NADPH production (yeast)	variable		r:d<1	else	>0.8 no DNA	f	PWY-7269	 mitochondrial NADPH production (yeast)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
PWY1G-0: mycothiol biosynthesis	PWY1G-0: mycothiol biosynthesis	variable		nan	else	>0.8 no DNA	f	PWY1G-0	 mycothiol biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	mycothiol biosynthesis
PWY3DJ-35471: L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)	PWY3DJ-35471: L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)	variable		r:d<1	else	>0.8 no DNA	f	PWY3DJ-35471	 L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	L-ascorbate biosynthesis IV
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	variable		r:d<1	else	>0.8 no DNA	f	UBISYN-PWY	 superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of ubiquinol-8 biosynthesis (prokaryotic)
P221-PWY: octane oxidation	P221-PWY: octane oxidation	variable		r:d<1	else	>0.8 no DNA	f	P221-PWY	 octane oxidation	Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	octane oxidation
P621-PWY: nylon-6 oligomer degradation	P621-PWY: nylon-6 oligomer degradation	variable		r:d<1	else	>0.8 no DNA	f	P621-PWY	 nylon-6 oligomer degradation	Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	nylon-6 oligomer degradation
PWY-3781: aerobic respiration I (cytochrome c)	PWY-3781: aerobic respiration I (cytochrome c)	variable		nan	else	>0.8 no DNA	f	PWY-3781	 aerobic respiration I (cytochrome c)	Generation of Precursor Metabolites and Energy	Electron Transfer Chains	aerobic respiration I (cytochrome c)
PWY-7279: aerobic respiration II (cytochrome c) (yeast)	PWY-7279: aerobic respiration II (cytochrome c) (yeast)	variable		nan	else	>0.8 no DNA	f	PWY-7279	 aerobic respiration II (cytochrome c) (yeast)	Generation of Precursor Metabolites and Energy	Electron Transfer Chains	aerobic respiration II (cytochrome c) (yeast)
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	LPSSYN-PWY	 superpathway of lipopolysaccharide biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of lipopolysaccharide biosynthesis
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	variable		r:d<1	else	>0.8 no DNA	f	PWY-5994	 palmitate biosynthesis (type I fatty acid synthase)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	palmitate biosynthesis I (animals and fungi)
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	variable		r:d<1	else	>0.8 no DNA	f	PWY-6285	 superpathway of fatty acids biosynthesis (E. coli)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of fatty acids biosynthesis (E. coli)
PWY-6349: CDP-archaeol biosynthesis	PWY-6349: CDP-archaeol biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	PWY-6349	 CDP-archaeol biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	CDP-archaeol biosynthesis
PWY-7039: phosphatidate metabolism, as a signaling molecule	PWY-7039: phosphatidate metabolism, as a signaling molecule	variable		r:d<1	else	>0.8 no DNA	f	PWY-7039	 phosphatidate metabolism, as a signaling molecule	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phosphatidate metabolism, as a signaling molecule
PWY-7094: fatty acid salvage	PWY-7094: fatty acid salvage	variable		r:d<1	else	>0.8 no DNA	f	PWY-7094	 fatty acid salvage	Biosynthesis	Fatty Acid and Lipid Biosynthesis	fatty acid salvage
PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)	PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)	variable		r:d<1	else	>0.8 no DNA	f	PWY-7409	 phospholipid remodeling (phosphatidylethanolamine, yeast)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phospholipid remodeling (phosphatidylethanolamine, yeast)
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)	PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)	variable		r:d<1	else	>0.8 no DNA	f	PWY0-881	 superpathway of fatty acid biosynthesis I (E. coli)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of fatty acid biosynthesis I (E. coli)
FAO-PWY: fatty acid &beta;-oxidation I (generic)	FAO-PWY: fatty acid &beta;-oxidation I (generic)	variable		r:d<1	else	>0.8 no DNA	f	FAO-PWY	 fatty acid &beta;-oxidation I (generic)	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	fatty acid &beta;-oxidation I
LIPASYN-PWY: phospholipases	LIPASYN-PWY: phospholipases	variable		r:d<1	else	>0.8 no DNA	f	LIPASYN-PWY	 phospholipases	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	phospholipases
PWY66-388: ceramide degradation by &alpha;-oxidation	PWY66-388: ceramide degradation by &alpha;-oxidation	variable		r:d<1	else	>0.8 no DNA	f	PWY66-388	 ceramide degradation by &alpha;-oxidation	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	fatty acid &alpha;-oxidation III
P122-PWY: heterolactic fermentation	P122-PWY: heterolactic fermentation	variable		r:d<1	else	>0.8 no DNA	f	P122-PWY	 heterolactic fermentation	Generation of Precursor Metabolites and Energy	Fermentation	heterolactic fermentation
PWY-7003: glycerol degradation to butanol	PWY-7003: glycerol degradation to butanol	variable		r:d<1	else	>0.8 no DNA	f	PWY-7003	 glycerol degradation to butanol	Generation of Precursor Metabolites and Energy	Fermentation	glycerol degradation to butanol
PWY-7385: 1,3-propanediol biosynthesis (engineered)	PWY-7385: 1,3-propanediol biosynthesis (engineered)	variable		r:d>1	else	>0.8 no DNA	f	PWY-7385	 1,3-propanediol biosynthesis (engineered)	Generation of Precursor Metabolites and Energy	Fermentation	1,3-propanediol biosynthesis (engineered)
GLYOXYLATE-BYPASS: glyoxylate cycle	GLYOXYLATE-BYPASS: glyoxylate cycle	variable		r:d>1	else	>0.8 no DNA	f	GLYOXYLATE-BYPASS	 glyoxylate cycle	Generation of Precursor Metabolites and Energy	Generation of Precursor Metabolites and Energy	glyoxylate cycle
PWY-6876: isopropanol biosynthesis (engineered)	PWY-6876: isopropanol biosynthesis (engineered)	variable		r:d<1	else	>0.8 no DNA	f	PWY-6876	 isopropanol biosynthesis (engineered)	Generation of Precursor Metabolites and Energy	Generation of Precursor Metabolites and Energy	isopropanol biosynthesis
PWY-6313: serotonin degradation	PWY-6313: serotonin degradation	variable		r:d<1	else	>0.8 no DNA	f	PWY-6313	 serotonin degradation	Degradation/Utilization/Assimilation	Hormone Degradation	serotonin degradation
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	DENITRIFICATION-PWY: nitrate reduction I (denitrification)	variable		r:d<1	else	>0.8 no DNA	f	DENITRIFICATION-PWY	 nitrate reduction I (denitrification)	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	nitrate reduction I (denitrification)
PWY-1541: superpathway of taurine degradation	PWY-1541: superpathway of taurine degradation	variable		r:d<1	else	>0.8 no DNA	f	PWY-1541	 superpathway of taurine degradation	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	superpathway of taurine degradation
PWY-5675: nitrate reduction V (assimilatory)	PWY-5675: nitrate reduction V (assimilatory)	variable		r:d<1	else	>0.8 no DNA	f	PWY-5675	 nitrate reduction V (assimilatory)	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	nitrate reduction V (assimilatory)
PWY-6748: nitrate reduction VII (denitrification)	PWY-6748: nitrate reduction VII (denitrification)	variable		r:d<1	else	>0.8 no DNA	f	PWY-6748	 nitrate reduction VII (denitrification)	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	nitrate reduction VII (denitrification)
PWY0-1533: methylphosphonate degradation I	PWY0-1533: methylphosphonate degradation I	variable		r:d<1	else	>0.8 no DNA	f	PWY0-1533	 methylphosphonate degradation I	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	methylphosphonate degradation I
PWY490-3: nitrate reduction VI (assimilatory)	PWY490-3: nitrate reduction VI (assimilatory)	variable		r:d<1	else	>0.8 no DNA	f	PWY490-3	 nitrate reduction VI (assimilatory)	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	nitrate reduction VI (assimilatory)
ARGORNPROST-PWY	ARGORNPROST-PWY	variable		r:d<1	else	>0.8 no DNA	f	ARGORNPROST-PWY		Activation-Inactivation-Interconversion	Interconversion	arginine, ornithine and proline interconversion
PWY-5083: NAD(P)/NADPH interconversion	PWY-5083: NAD(P)/NADPH interconversion	variable		r:d<1	else	>0.8 no DNA	f	PWY-5083	 NAD(P)/NADPH interconversion	Activation/Inactivation/Interconversion	Interconversions	NAD/NADH phosphorylation and dephosphorylation
PWY-5656: mannosylglycerate biosynthesis I	PWY-5656: mannosylglycerate biosynthesis I	variable		r:d<1	else	>0.8 no DNA	f	PWY-5656	 mannosylglycerate biosynthesis I	Biosynthesis	Metabolic Regulator Biosynthesis	mannosylglycerate biosynthesis I
PWY-7196: superpathway of pyrimidine ribonucleosides salvage	PWY-7196: superpathway of pyrimidine ribonucleosides salvage	variable		r:d<1	else	>0.8 no DNA	f	PWY-7196	 superpathway of pyrimidine ribonucleosides salvage	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine ribonucleosides salvage
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	variable		r:d<1	else	>0.8 no DNA	f	PWY-7200	 superpathway of pyrimidine deoxyribonucleoside salvage	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine deoxyribonucleoside salvage
PWY-7209: superpathway of pyrimidine ribonucleosides degradation	PWY-7209: superpathway of pyrimidine ribonucleosides degradation	variable		r:d<1	else	>0.8 no DNA	f	PWY-7209	 superpathway of pyrimidine ribonucleosides degradation	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	superpathway of pyrimidine ribonucleosides degradation
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	P125-PWY: superpathway of (R,R)-butanediol biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	P125-PWY	 superpathway of (R,R)-butanediol biosynthesis	Biosynthesis	Other Biosynthesis	superpathway of (R,R)-butanediol biosynthesis
AEROBACTINSYN-PWY: aerobactin biosynthesis	AEROBACTINSYN-PWY: aerobactin biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	AEROBACTINSYN-PWY	 aerobactin biosynthesis	Biosynthesis	Secondary Metabolite Biosynthesis	aerobactin biosynthesis
PWY-6660: 2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis	PWY-6660: 2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	PWY-6660	 2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis	Biosynthesis	Secondary Metabolite Biosynthesis	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis
PWY-4702: phytate degradation I	PWY-4702: phytate degradation I	variable		r:d<1	else	>0.8 no DNA	f	PWY-4702	 phytate degradation I	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	phytate degradation I
PWY-7446: sulfoquinovose degradation I	PWY-7446: sulfoquinovose degradation I	variable		r:d<1	else	>0.8 no DNA	f	PWY-7446	 sulfoquinovose degradation I	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	sulfoglycolysis
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	variable		r:d>1	else	>0.8 no DNA	f	GLYCOLYSIS-TCA-GLYOX-BYPASS	 superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	Generation of Precursor Metabolites and Energy	Superpathways	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	variable		r:d<1	else	>0.8 no DNA	f	PWY-5464	 superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	Generation of Precursor Metabolites and Energy	Superpathways	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	variable		r:d>1	else	>0.8 no DNA	f	TCA-GLYOX-BYPASS	 superpathway of glyoxylate bypass and TCA	Superpathways	Superpathways	superpathway of glyoxylate bypass and TCA
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	variable		r:d>1	else	>0.8 no DNA	f	P105-PWY	 TCA cycle IV (2-oxoglutarate decarboxylase)	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle IV (2-oxoglutarate decarboxylase)
PWY66-398: TCA cycle III (animals)	PWY66-398: TCA cycle III (animals)	variable		r:d<1	else	>0.8 no DNA	f	PWY66-398	 TCA cycle III (animals)	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle III (animals)
REDCITCYC: TCA cycle VI (Helicobacter)	REDCITCYC: TCA cycle VI (Helicobacter)	variable		r:d<1	else	>0.8 no DNA	f	REDCITCYC	 TCA cycle VI (Helicobacter)	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle VIII (helicobacter)
